max_value,0.7626262626262627,0.7200520833333333,0.5700934579439252,0.5797101449275363,0.7464638377368562,0.71875,0.3171717171717172
index_set,0,169,82,8,383,309,108
mean_value,0.5301515151515152,0.4273072916666667,0.4162710280373832,0.4561391304347826,0.2972746196957566,0.270425,0.14367878787878788

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
13,0.5909090909090908,0.32161458333333337,0.49065420560747663,0.4521739130434783,0.41406458500133436,0.23750000000000004,0.1525252525252525,0.858851,0.0927674,0.215012,31,0.00323241,0.093289,0.110393,46,1.19452,0.185112,0.000262844
14,0.3282828282828283,0.3125,0.514018691588785,0.4666666666666667,0.6585268214571658,0.59375,0.24343434343434345,0.92875,0.0453147,0.44496,51,0.00553255,0.0608272,0.238502,13,1.08613,0.636144,0.00551729
15,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.707338,0.0479912,0.340767,45,0.00464742,0.086029,0.394621,86,0.424131,0.389589,0.00108525
16,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.70423,0.0256999,0.462634,30,0.00841452,0.0952036,0.0649061,20,3.2266,0.548043,0.00612489
17,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.41159420289855075,0.10408326661329059,0.125,0.09090909090909094,0.750075,0.056998,0.132079,31,0.00978677,0.0853489,0.356126,8,3.29387,0.409466,0.00455564
18,0.4191919191919192,0.5455729166666667,0.43457943925233644,0.4956521739130435,0.5186816119562316,0.33125000000000004,0.1636363636363637,0.87031,0.0440107,0.174376,85,0.00898485,0.0262381,0.336207,100,1.22358,0.655898,0.00360501
19,0.15656565656565657,0.24479166666666663,0.3691588785046729,0.41159420289855075,0.0,0.23124999999999996,0.010101010101010055,0.992883,0.0537518,0.235104,84,0.00918399,0.0540001,0.33073,74,1.16566,0.735342,0.0012228
20,0.26262626262626265,0.38020833333333337,0.4719626168224299,0.4666666666666667,0.03496130237523354,0.3375,0.13030303030303025,0.97219,0.0913458,0.319224,27,0.00248268,0.0489111,0.33924,30,2.32339,0.426857,0.00105708
21,0.3232323232323232,0.29817708333333337,0.4579439252336449,0.408695652173913,0.4576994929276754,0.42500000000000004,0.23030303030303034,0.897891,0.0241795,0.296405,43,0.00833106,0.0239444,0.479089,53,2.84423,0.566321,0.000243237
22,0.46464646464646464,0.46614583333333337,0.44859813084112155,0.4405797101449276,0.4234053909794502,0.25,0.195959595959596,0.875598,0.0858299,0.0553644,59,0.00405317,0.0433739,0.314182,75,0.969009,0.169617,0.00438327
23,0.5656565656565656,0.421875,0.383177570093458,0.5130434782608695,0.5230851347744863,0.24375000000000002,0.1383838383838384,0.865566,0.0311926,0.127328,53,0.00099007,0.0761385,0.2489,38,0.354631,0.212847,0.00602136
24,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.700181,0.0180431,0.206221,98,0.00962203,0.0833896,0.319542,94,0.507672,0.667129,0.000776307
25,0.35858585858585856,0.33723958333333337,0.4672897196261683,0.4492753623188406,0.4312783560181479,0.24375000000000002,0.15959595959595962,0.896635,0.0165574,0.044332,14,0.000642685,0.0496337,0.349528,77,2.6726,0.146799,0.00097606
26,0.1515151515151515,0.203125,0.37850467289719625,0.35942028985507246,0.5008006405124099,0.6125,0.2545454545454545,0.96622,0.0267278,0.0491655,4,0.00933979,0.0846399,0.0753664,21,1.97133,0.165301,0.00688655
27,0.43939393939393945,0.33463541666666663,0.485981308411215,0.4231884057971015,0.4383506805444356,0.35624999999999996,0.15050505050505047,0.864942,0.0838501,0.392503,44,0.00740455,0.0901089,0.300826,71,1.20465,0.00333322,0.000705793
28,0.33838383838383834,0.30078125,0.4672897196261683,0.4869565217391304,0.015345609821190265,0.44999999999999996,0.11313131313131308,0.97505,0.0873931,0.0300333,37,0.00339561,0.0362418,0.00486336,33,0.388016,0.387446,0.00515437
29,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5014492753623188,0.10408326661329059,0.125,0.09090909090909094,0.709527,0.0686674,0.018269,40,0.00705933,0.0422396,0.309144,83,1.7221,0.469649,0.00762
30,0.2828282828282829,0.38932291666666663,0.46261682242990654,0.5304347826086957,0.09020549773151854,0.54375,0.28080808080808084,0.952485,0.0771835,0.314034,85,0.00279926,0.0609597,0.0148202,92,3.65564,0.778755,0.00559127
31,0.7626262626262627,0.44791666666666663,0.3551401869158879,0.4695652173913043,0.2586068855084067,0.125,0.11616161616161613,0.787647,0.0632935,0.186279,76,0.00145892,0.0280394,0.288404,84,1.85525,0.326437,0.00564776
32,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5043478260869565,0.10408326661329059,0.125,0.09090909090909094,0.744678,0.0436158,0.151762,49,0.00291609,0.0824708,0.20021,37,3.38883,0.232141,0.00306281
33,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.738123,0.0343061,0.0649147,79,0.00389682,0.0435202,0.383572,2,0.225959,0.312969,0.00459044
34,0.07070707070707072,0.234375,0.2757009345794392,0.4057971014492754,0.0,0.35,0.010101010101010055,0.992354,0.0750161,0.141159,100,0.00528885,0.0759246,0.498494,29,0.761419,0.301128,0.00219467
35,0.7626262626262627,0.3515625,0.4953271028037384,0.5681159420289855,0.10408326661329059,0.125,0.14747474747474743,0.833529,0.095304,0.237573,83,0.00711012,0.0677759,0.360095,18,3.1112,0.188799,0.00599128
