max_value,0.9974672857745884,0.9579074715280964,0.9959497088853261,0.9871545677343023
index_set,64,75,66,66
mean_value,0.49546976704248097,0.36746382560344687,0.23733912011597458,0.1251746790622539

experiment,N10_CE,N30_CE,N50_CE,N70_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
61,0.3269821240799159,0.0,0.0,0.0,0.990047,0.0820216,0.298289,58,0.00206468,0.0272637,0.313922,7,0.223105,0.000518987,0.00169711
62,0.6530721664224184,0.6667737903945724,0.4793810942578548,0.02500694637399281,0.963212,0.0386599,0.358242,41,0.00197913,0.0281253,0.490639,89,0.692632,0.000673987,0.00476252
63,0.8594508622132931,0.8950783989681164,0.8014758963664073,0.3400831129580657,0.967827,0.0320124,0.390786,49,0.00308356,0.0458035,0.368543,42,0.131602,0.000239143,0.0013134
64,0.9974672857745884,0.9097080787508486,0.9661103109378971,0.8356291726527507,0.998912,0.0137159,0.200609,57,0.00260707,0.0336735,0.184096,30,0.2426,0.000556565,0.0028271
65,0.5852023717452952,0.3736599043377866,0.3567089047040445,0.221994591493895,0.943453,0.0164006,0.13186,97,0.00859731,0.0469149,0.187365,38,0.918778,0.000182799,0.000728554
66,0.7716161984677126,0.8968092328581126,0.9959497088853261,0.9871545677343023,0.995434,0.0174114,0.155251,22,0.00770214,0.0199237,0.253636,8,0.486588,0.000611647,0.00891301
67,0.19284588930864488,0.08361558312072959,0.04649691569708525,0.021573032393187863,0.913378,0.00399946,0.0677152,53,0.00417109,0.0166612,0.245561,54,0.698233,0.000347916,0.00159119
68,0.045910092735060526,0.0257789547730376,0.03196877854355229,0.0149271893887154,0.963624,0.08893,0.181604,29,0.0091663,0.0415723,0.116619,32,0.705585,0.000716741,0.00810251
69,0.04185676614624756,0.015251822676611071,0.022768024686209865,0.014569699962958427,0.969826,0.0997939,0.149145,98,0.00327933,0.0231415,0.457341,8,0.427849,0.000688653,0.00253788
70,0.27547903782157457,0.16562945132959073,0.09613317783723219,0.035832060813135724,0.906272,0.0207124,0.0495337,55,0.00150316,0.0145075,0.125217,71,0.89411,0.000746628,0.00528632
71,0.03522603371634658,0.012668883370512196,0.024148918329699787,0.012520277858658169,0.973193,0.0978641,0.027744,50,0.00242001,0.0160945,0.102921,17,0.441858,0.000302272,0.0076221
