max_value,0.8652602402217431,0.913994045087197,0.9750706332059166,0.9962675361448368,0.9988112624392895,0.9978597722797705,0.9987044865675713,0.996457788648056,0.9922115101250368,0.9941880053908356,0.9956247370635255,0.9055731908225177,0.9990461554766573,0.9815602836879432,0.9916183107672469,0.9945582817654283,0.8761889911118041,0.9325272428720704,0.8155569580309245,0.7118046487333507,0.7689258818866429,0.6062765520076744
index_set,338,236,0,20,338,0,20,350,20,160,160,59,80,374,0,20,80,338,315,436,122,221
mean_value,0.3751597723665298,0.3862561182097814,0.40075948143498613,0.4221637374737739,0.4596914870083065,0.46431720265551635,0.4553244688306615,0.42297060841818523,0.3010175867754972,0.2015102006016442,0.11623980445678511,0.4351225991793502,0.4246741308750474,0.4019690332804071,0.3984123097943357,0.3880413265688113,0.37784091566785516,0.37106859241661727,0.3383860584842541,0.2981301765164791,0.26566850698781636,0.23751920045211553

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
10,0.4657521463232549,0.559402332361516,0.691238267289793,0.6816640289396337,0.8396048649574601,0.8425604019983055,0.7198224946524918,0.7892342968838101,0.6370388986624221,0.4950056086747503,0.04098239384524338,0.787819864665163,0.7647701389857295,0.7820224336026729,0.7659704045403892,0.7591833328117013,0.47049719481524477,0.4654915127774669,0.4349660889223813,0.38863499180822625,0.43026779133568094,0.3371691599539701,0.937636,0.0409352,0.437607,56,0.000704162,0.0473112,0.280219,83,1.66521,0.729234,0.00943952
11,0.344894968246214,0.33549468162611107,0.37029601781216925,0.44714053237242823,0.5460206265810469,0.6120604240659726,0.5609130498966637,0.4160217188702946,0.245994534011985,0.15107812656704445,0.03818445545751237,0.47978059797805983,0.4766483063425575,0.49086223934553375,0.4444208739923632,0.4688262788886004,0.3433852140077821,0.344682320441989,0.34515905947441217,0.31405062496074365,0.3376739207991438,0.25567594054554366,0.908341,0.0439766,0.37721,97,0.00978354,0.046792,0.1665,70,0.581094,0.380723,0.00472751
12,0.5651111369719539,0.7355192947181193,0.6078262944404677,0.6619868762398902,0.6623346637200251,0.6861693348737415,0.4978149424321372,0.6586601242530965,0.6909474603405618,0.450465775617659,0.25105310977120676,0.7082155262945311,0.6123735522650637,0.20011539392134603,0.46484290901784053,0.14675723720612643,0.5570832310336362,0.6904576183047322,0.6541603211961788,0.6992124160296502,0.47278020378457064,0.30746054519368726,0.981868,0.0308976,0.307489,61,0.00996739,0.018947,0.0948599,52,1.46617,0.00487959,0.00906772
13,0.6287315706104545,0.6484325522482584,0.6293018170458686,0.6037811104020421,0.659782682054397,0.5663435885312891,0.6743581336981221,0.5813682092555332,0.7231749758899744,0.08847074358339524,0.0,0.7344280860702153,0.6859084033821816,0.6371953312736012,0.7698784181314939,0.715288197410032,0.5981630309988519,0.6027767065175472,0.6495977525220278,0.491861288039632,0.36872079439252337,0.3755682651415163,0.980698,0.0470323,0.114214,17,0.00403946,0.0316474,0.0275722,78,1.51977,0.308603,0.00896475
14,0.32872241218526577,0.33131313131313134,0.3549331361311394,0.45864267163356853,0.5389602593348541,0.44707197356271566,0.39949580098408655,0.4713750935862241,0.2629510247936132,0.16276208540523918,0.09012897491479466,0.5938954841713222,0.5008155429495229,0.6886548384816569,0.49774223812154217,0.4967600974693367,0.2762529832935561,0.35312051649928267,0.2916352158100597,0.23969652471855118,0.32180601588393476,0.3308588957055215,0.922577,0.0281997,0.040329,56,0.00648552,0.0344091,0.192798,20,1.88808,0.329949,0.0075543
15,0.40751542344363434,0.44099309105206985,0.43882504252582666,0.34860035372324205,0.4216149693731994,0.3102011840660076,0.4133205974296631,0.45512297962052006,0.16737856069755797,0.059634498236614264,0.03615442655935619,0.24123510141493,0.22062061134156796,0.07738651374077776,0.12393609078691947,0.0390477139157287,0.407241340656877,0.4060327307733448,0.37741228070175437,0.41125871080139376,0.42833382252225805,0.2901315789473684,0.941443,0.0706502,0.0286843,34,0.00457267,0.0176997,0.315167,54,1.48037,0.35327,0.000127657
16,0.5088235294117647,0.4444363264411485,0.4378015827060413,0.3543841336116911,0.4926511506104946,0.3301899389124412,0.40687340189463483,0.5334003200476349,0.023598451741790538,0.03391803142405847,0.020783340789848337,0.6009946442234124,0.5027493544993784,0.46582218778425366,0.45306811586556217,0.3124472828051572,0.44699103713188215,0.6122421464203855,0.383059253458627,0.5160685591858596,0.3849795291709315,0.5078219013237064,0.966296,0.0870628,0.374874,12,0.00140111,0.0369899,0.290504,42,1.44076,0.254013,0.00162523
17,0.2012200889057032,0.22523844460748355,0.2903989337255263,0.301967823650791,0.3809861469016448,0.4301556120832466,0.3115542046228007,0.2699765864201237,0.18995744113801227,0.13439816075263933,0.07302053788060003,0.3141137983409277,0.25704441331263483,0.2818288600089194,0.3329210606257865,0.27744590369910527,0.20583982461868555,0.21161862925276798,0.1916296240488209,0.17954753897890552,0.19492170688913169,0.15581288385054515,0.947296,0.00573698,0.474873,5,0.00952726,0.0107087,0.11037,10,3.42617,0.0587722,0.00802518
18,0.006375518010838355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073260073260073,9.583133684715195E-4,6.391818472355482E-4,3.198464736926532E-4,3.1999999999998696E-4,0.002234993614303904,0.994902,0.0980144,0.49793,11,0.00600062,0.0348375,0.245738,34,1.87474,0.456199,0.00482299
19,0.157770708141864,0.050054833150556144,0.035147392290249435,0.10276872353976996,0.007531632858003623,0.031018464561029635,0.12375198139036991,0.05649831922562876,0.03965779163668348,0.05882352941176472,0.029124004550625693,0.03873013152821214,0.04198453608247421,0.03645920085873444,0.02558996315841877,0.030757845563238573,0.2271282633371169,0.2149266335902037,0.06554356409581463,0.05969962453066335,0.14213384884470215,0.08722050886661525,0.953,0.0834293,0.429056,41,0.0088817,0.0470788,0.119474,46,1.79357,0.119124,0.00777135
