max_value,0.7626262626262627,0.7330729166666667,0.5747663551401869,0.5797101449275363,0.7304510274886575,0.6875,0.25656565656565655
clusters_found,1,2,13,1,20,19,12
index_set,2,432,252,6,361,136,252
mean_value,0.6407575757575757,0.5380520833333333,0.3593551401869159,0.5126086956521739,0.16029276754737123,0.177475,0.09772323232323234

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
20,0.7626262626262627,0.6510416666666667,0.35046728971962615,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.723319,0.109049,0.430676,72,0.000362257,0.0562982,0.391137,30,1.41798,0.00682225,0.00327026
21,0.7373737373737373,0.6484375,0.35046728971962615,0.5594202898550724,0.09554310114758469,0.125,0.09090909090909094,0.854787,0.163192,0.261897,4,0.00711884,0.0354716,0.205383,7,1.07098,0.367759,0.00191442
22,0.7222222222222222,0.6432291666666667,0.3457943925233645,0.5449275362318841,0.07779556978916469,0.125,0.09090909090909094,0.896363,0.00272794,0.442612,46,0.00409962,0.0503572,0.111737,94,1.68431,0.143263,0.00385847
23,0.19696969696969702,0.29557291666666663,0.5327102803738317,0.336231884057971,0.433947157726181,0.66875,0.23131313131313136,0.968452,0.170602,0.141972,10,0.00426252,0.014992,0.210155,23,0.323593,0.477379,0.0065656
24,0.6565656565656566,0.5013020833333333,0.3271028037383178,0.5217391304347826,0.030824659727782255,0.125,0.07272727272727275,0.93243,0.071186,0.445368,67,0.00641571,0.0264517,0.04486,68,2.24483,0.30534,0.00604239
25,0.7626262626262627,0.703125,0.43457943925233644,0.5652173913043479,0.1982919669068588,0.125,0.09090909090909094,0.793844,0.119658,0.0485637,89,0.00783589,0.0278953,0.346435,81,0.965519,0.746051,0.00459725
26,0.6161616161616161,0.5559895833333333,0.4579439252336449,0.4405797101449276,0.35174806511876167,0.25,0.14141414141414144,0.876977,0.00306083,0.213018,15,0.00863313,0.0410209,0.18019,97,1.28798,0.725676,0.000159131
27,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.740535,0.0768912,0.38428,30,0.00416391,0.0596073,0.302726,96,3.35594,0.0881298,0.00499911
28,0.7525252525252525,0.6484375,0.3457943925233645,0.5565217391304348,0.09073925807312522,0.125,0.09090909090909094,0.87906,0.131795,0.0888727,91,0.00317059,0.0204048,0.137477,32,3.93583,0.770913,0.001762
29,0.7222222222222222,0.6432291666666667,0.35046728971962615,0.5449275362318841,0.07966373098478785,0.125,0.09090909090909094,0.89481,0.179854,0.479458,39,0.00938571,0.0778937,0.476837,27,2.35299,0.0635028,0.000691153
30,0.7626262626262627,0.6510416666666667,0.35046728971962615,0.5797101449275363,0.10381638644248736,0.125,0.09090909090909094,0.752188,0.188668,0.432348,38,0.00176043,0.0192609,0.109242,56,1.52419,0.388051,0.00222685
31,0.7474747474747474,0.6484375,0.3457943925233645,0.5594202898550724,0.0942087002935682,0.125,0.09090909090909094,0.867973,0.0209379,0.123278,8,0.00217558,0.0381823,0.266386,85,0.875289,0.308716,0.00768593
32,0.7424242424242424,0.6497395833333333,0.35046728971962615,0.5652173913043479,0.09607686148919137,0.125,0.09090909090909094,0.830187,0.186894,0.240156,80,0.00308998,0.0259837,0.209037,4,3.74549,0.354484,0.0080666
33,0.6262626262626263,0.6315104166666667,0.39252336448598135,0.5217391304347826,0.43434747798238593,0.20625000000000004,0.18181818181818177,0.877013,0.0256416,0.00551513,22,0.00296937,0.0646287,0.0585102,5,0.23213,0.27052,0.00077896
34,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5797101449275363,0.10354950627168402,0.125,0.09090909090909094,0.76253,0.198204,0.416373,63,0.00427974,0.0753832,0.211647,37,1.88052,0.150309,0.000661667
35,0.015151515151515138,0.03776041666666663,0.1728971962616822,0.04347826086956519,0.05004003202562046,0.17500000000000004,0.03838383838383841,0.998424,0.0399037,0.198592,43,0.00521673,0.0952197,0.364586,80,1.76112,0.607949,0.00461162
36,0.7575757575757576,0.6497395833333333,0.35046728971962615,0.5739130434782609,0.09607686148919137,0.125,0.09090909090909094,0.82598,0.0940347,0.352906,73,0.000128688,0.094771,0.495941,46,1.54963,0.177842,0.0024942
37,0.7525252525252525,0.5299479166666667,0.35046728971962615,0.5391304347826087,0.18654923939151324,0.125,0.09090909090909094,0.81203,0.0483344,0.376353,83,0.00673254,0.0849462,0.151781,37,0.794436,0.795254,0.00409616
38,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.704505,0.178853,0.470982,18,0.00312039,0.0857134,0.42089,67,3.62616,0.0778638,0.00861245
39,0.6868686868686869,0.6080729166666667,0.3691588785046729,0.5333333333333333,0.3561515879370163,0.29374999999999996,0.15959595959595962,0.851381,0.180564,0.0970409,69,0.00959074,0.0773224,0.466128,5,1.61057,0.717334,0.00966932
40,0.7424242424242424,0.6497395833333333,0.35046728971962615,0.5681159420289855,0.09607686148919137,0.125,0.09090909090909094,0.826666,0.168112,0.436796,91,0.00953554,0.0119862,0.399899,45,0.748071,0.217176,0.00242893
