max_value,0.4628413411683374,0.5168571841991029,0.34128097241701727,0.5,0.3622110411863667,0.34940170940170945,0.16074482973099047
index_set,383,58,307,3,202,364,434
mean_value,0.30542860160428953,0.3015939883826548,0.25923139992216815,0.36670281317367387,0.12000960609590228,0.1337280814989718,0.07581919119493123

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
25,0.3928680746862565,0.40690104166666663,0.27622014537902384,0.38647342995169087,0.04553642914331468,0.06617647058823528,0.045454545454545414,0.711725,0.083112,0.0318517,14,0.0923865,0.143221,0.0490328,0.208383,61
26,0.2663448275862069,0.32814735336194567,0.3189987163029525,0.3680257510729614,0.20035640209167127,0.1487981686379245,0.09764326469858597,0.896338,0.0659683,0.0980312,25,0.0789666,0.239576,0.0712152,0.19521,48
27,0.1555409531908314,0.14597964741292824,0.2393333333333333,0.2196421773886562,0.2579657145198547,0.2544471965773475,0.11473026600133585,0.931345,0.0402947,0.0941205,82,0.0715031,0.290112,0.0440782,0.317001,86
28,0.1874230611407468,0.16068391370512936,0.33436532507739936,0.21375999999999995,0.25667853962600173,0.2629837067209776,0.11464935332611947,0.935093,0.0421441,0.0137311,85,0.0890392,0.468222,0.0737144,0.0880324,74
29,0.36975818794000614,0.32552083333333337,0.27622014537902384,0.5,0.05204163330664535,0.06617647058823528,0.045454545454545414,0.710595,0.075935,0.0458879,89,0.00253294,0.233437,0.0448048,0.383832,25
30,0.41597796143250687,0.44450875416003477,0.23676012461059193,0.42928245541269183,0.11433906462470411,0.06617647058823528,0.045454545454545414,0.791575,0.0539763,0.089961,2,0.0703628,0.285758,0.0602774,0.283774,27
31,0.30394163181777734,0.3578163303790307,0.28911342894393743,0.35651149086623457,0.17135961383749,0.13074842200180348,0.09042386185243323,0.88788,0.0536547,0.022684,4,0.0933651,0.235419,0.0131441,0.0436819,33
32,0.40706319702602234,0.3338272465789245,0.26765990238890314,0.33506493506493507,0.1407507964912167,0.10810810810810811,0.07027406886858745,0.850904,0.0506561,0.0225632,87,0.0575006,0.266706,0.0832847,0.245174,10
33,0.36975818794000614,0.363765541740675,0.23676012461059193,0.42910447761194026,0.08154981549815499,0.06617647058823528,0.045454545454545414,0.76625,0.0308374,0.047271,23,0.0190477,0.163364,0.0990409,0.304339,22
34,0.18529557873820168,0.1818963772515685,0.30120137299771166,0.4355555555555556,0.05696223645583132,0.16589861751152069,0.11828415486952071,0.941948,0.0973777,0.091717,97,0.0644232,0.180505,0.0715854,0.43077,15
35,0.22054249547920435,0.16475287069395905,0.21881149153876422,0.2975638051044084,0.06338404056578595,0.24835988753514526,0.1311219512195122,0.961692,0.0703134,0.00533289,7,0.0697826,0.355014,0.0705331,0.419608,93
36,0.09477468542738487,0.0939356337619136,0.14956455887921238,0.20264317180616742,0.2831837473980158,0.33592117049865633,0.1248292529158348,0.964148,0.0278997,0.0561568,92,0.0407908,0.157201,0.0697595,0.391506,12
37,0.22814423922603344,0.20445995311051746,0.2638586956521739,0.21431928560238134,0.18507946973903389,0.1530873939633064,0.0914821527066425,0.905929,0.0297827,0.0400052,91,0.0618548,0.13708,0.057354,0.0744866,69
38,0.33198036624504434,0.3338556629233046,0.2841216216216216,0.5,0.1429845365714828,0.06617647058823528,0.0842696629213483,0.836626,0.00350531,0.0343895,53,0.0228075,0.118621,0.0771288,0.244733,13
39,0.25635359116022094,0.33139534883720934,0.28065784769395785,0.44257498171177756,0.17442728296206345,0.13022474270111317,0.09675082781456956,0.892391,0.0945255,0.0154552,17,0.0512165,0.240501,0.0932478,0.0824414,58
40,0.3928680746862565,0.32552083333333337,0.27622014537902384,0.38647342995169087,0.05204163330664535,0.06617647058823528,0.045454545454545414,0.71904,0.0840606,0.0702127,87,0.00893835,0.0550011,0.0563577,0.27352,51
41,0.26825272455303084,0.20628407621831268,0.25514641925195714,0.3335800641500123,0.223031709365081,0.15704314720812185,0.1017624270202434,0.90192,0.0326253,0.0552942,12,0.0917035,0.475031,0.0411489,0.499925,29
42,0.22400845524837287,0.35670703088331923,0.21573561482972659,0.3535412416205188,0.1454520006140454,0.11363636363636365,0.09580398162327719,0.872681,0.00721449,0.0445389,80,0.0956201,0.466201,0.0180184,0.390455,19
43,0.3928680746862565,0.32552083333333337,0.27622014537902384,0.5,0.04553642914331468,0.06617647058823528,0.054545454545454564,0.719911,0.00478068,0.0578178,34,0.0972905,0.471758,0.0677539,0.281415,96
44,0.30671795834115223,0.2780033965886436,0.19109589041095887,0.239304347826087,0.15518921877990266,0.12269938650306744,0.0890518596123625,0.884701,0.014425,0.0818777,12,0.0834711,0.414157,0.0625098,0.393361,78
