max_value,0.7626262626262627,0.7213541666666667,0.5186915887850467,0.5855072463768116,0.72337870296237,0.6875,0.26969696969696966
clusters_found,1,2,4,3,17,16,14
index_set,0,22,244,25,137,179,47
mean_value,0.6319595959595959,0.5805182291666666,0.39744859813084116,0.5356289855072464,0.30486042167066985,0.24375,0.11403838383838387

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
33,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5710144927536231,0.2640779290098746,0.125,0.09090909090909094,0.809197,0.0674145,0.0913356,43,0.00358753,0.848029,0.0554837,0.480555,82
34,0.3535353535353535,0.46875,0.44859813084112155,0.5014492753623188,0.6529223378702962,0.56875,0.18787878787878787,0.955398,0.06873,0.083086,64,0.00343845,0.24463,0.0351491,0.35086,52
35,0.7222222222222222,0.6393229166666667,0.4719626168224299,0.5507246376811594,0.5105417667467307,0.275,0.09090909090909094,0.911481,0.0821246,0.288691,45,0.000282946,0.40392,0.072862,0.239355,57
36,0.7626262626262627,0.6497395833333333,0.40654205607476634,0.5710144927536231,0.20563117160394984,0.125,0.09090909090909094,0.80248,0.0617371,0.393669,75,0.000727866,0.286407,0.0103212,0.00616549,86
37,0.24242424242424243,0.41015625,0.4439252336448598,0.4956521739130435,0.47758206565252204,0.6625,0.2161616161616161,0.969428,0.0507988,0.210198,9,0.00789348,0.729039,0.0265169,0.43272,62
38,0.40909090909090906,0.5260416666666667,0.4953271028037384,0.518840579710145,0.6086202295169469,0.32499999999999996,0.1717171717171717,0.91772,0.0330914,0.358815,95,0.00371561,0.262665,0.0242355,0.372043,38
39,0.7373737373737373,0.6393229166666667,0.4579439252336449,0.5536231884057972,0.2727515345609821,0.15000000000000002,0.09090909090909094,0.894571,0.148709,0.184317,19,0.00626282,0.865201,0.0873976,0.472988,21
40,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5681159420289855,0.20509741126234315,0.125,0.09090909090909094,0.826286,0.0999633,0.467573,92,0.00667221,0.874041,0.0346183,0.274912,11
41,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.721136,0.0856764,0.485105,60,0.00982896,0.714358,0.0951746,0.0522856,58
42,0.5858585858585859,0.6497395833333333,0.36448598130841126,0.5565217391304348,0.23271950894048576,0.125,0.09090909090909094,0.853226,0.0788764,0.230767,40,0.00759983,0.122604,0.0104667,0.0758373,22
43,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.70664,0.112234,0.114714,10,0.00879691,0.39602,0.0636837,0.130943,45
44,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5681159420289855,0.2053642914331465,0.125,0.09090909090909094,0.827622,0.196501,0.360744,73,0.00675827,0.604177,0.0550012,0.268599,60
45,0.7626262626262627,0.5872395833333333,0.46261682242990654,0.4956521739130435,0.40338937816920206,0.23750000000000004,0.1323232323232323,0.811589,0.00502077,0.362735,55,0.00317786,0.141863,0.0245955,0.139013,20
46,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5333333333333333,0.10408326661329059,0.125,0.09090909090909094,0.756617,0.00886942,0.213296,62,0.00704533,0.804566,0.0420768,0.366877,63
47,0.1262626262626263,0.15885416666666663,0.42056074766355145,0.33333333333333337,0.3235922070990126,0.6375,0.26969696969696966,0.971562,0.0129381,0.0182427,71,0.00998582,0.49424,0.0592879,0.260038,26
48,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5391304347826087,0.2066986922871631,0.125,0.09090909090909094,0.810969,0.0302807,0.15077,62,0.00986641,0.894705,0.0302994,0.123569,28
49,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5710144927536231,0.16159594342140382,0.125,0.09090909090909094,0.803012,0.196095,0.217541,43,0.00948938,0.448563,0.0348671,0.103162,62
50,0.4696969696969697,0.6041666666666667,0.4579439252336449,0.527536231884058,0.7053642914331465,0.6,0.17373737373737375,0.962875,0.111674,0.0691457,94,0.00916547,0.178174,0.0140893,0.106144,5
51,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.714106,0.156132,0.355809,77,0.00432868,0.579563,0.0708789,0.188226,86
52,0.7626262626262627,0.6497395833333333,0.3551401869158879,0.5710144927536231,0.10408326661329059,0.125,0.09090909090909094,0.798726,0.162493,0.239663,61,0.00471452,0.295682,0.0502826,0.21416,50
53,0.4797979797979798,0.6497395833333333,0.4439252336448598,0.5565217391304348,0.27875633840405656,0.125,0.09090909090909094,0.837384,0.0412854,0.353957,76,0.00269215,0.383757,0.0162119,0.365356,45
54,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5652173913043479,0.20509741126234315,0.125,0.09090909090909094,0.83834,0.141818,0.257117,52,0.00685311,0.700262,0.0419322,0.415477,22
55,0.7626262626262627,0.6497395833333333,0.3551401869158879,0.5739130434782609,0.10408326661329059,0.125,0.09090909090909094,0.777923,0.113496,0.322673,47,0.00225522,0.551632,0.033528,0.135042,77
56,0.7626262626262627,0.6497395833333333,0.3551401869158879,0.5739130434782609,0.10408326661329059,0.125,0.09090909090909094,0.78068,0.128286,0.410295,50,0.0032801,0.468698,0.0401342,0.0667689,85
57,0.4696969696969697,0.6197916666666667,0.48130841121495327,0.5014492753623188,0.6938884440886042,0.58125,0.17575757575757578,0.968596,0.183651,0.37702,67,0.00975192,0.726665,0.0356803,0.398451,72
58,0.7626262626262627,0.6497395833333333,0.3551401869158879,0.5739130434782609,0.10408326661329059,0.125,0.09090909090909094,0.79181,0.174141,0.286562,27,0.00579002,0.488017,0.0414865,0.00336381,95
59,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.752402,0.139739,0.2364,83,0.00261812,0.942967,0.0458353,0.238448,61
60,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5333333333333333,0.20589805177475318,0.125,0.09090909090909094,0.820586,0.0344455,0.494504,20,0.00194318,0.933293,0.060684,0.202946,16
61,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.712519,0.0812139,0.147558,33,0.000537507,0.637627,0.0399967,0.437311,33
62,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.705551,0.076633,0.209194,16,0.00397347,0.989749,0.0711488,0.267656,83
63,0.7525252525252525,0.6497395833333333,0.3598130841121495,0.5652173913043479,0.21203629570322924,0.125,0.09090909090909094,0.860653,0.192757,0.0725267,6,0.00939359,0.047838,0.0529858,0.0137056,92
64,0.7373737373737373,0.6393229166666667,0.4532710280373832,0.5536231884057972,0.3532159060581799,0.24375000000000002,0.09090909090909094,0.906414,0.131612,0.204094,66,0.00577793,0.0236809,0.077274,0.419785,17
65,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5710144927536231,0.20523085134774488,0.125,0.09090909090909094,0.807534,0.128406,0.255852,69,0.00647708,0.28458,0.0890338,0.129749,38
66,0.7626262626262627,0.6497395833333333,0.3551401869158879,0.5739130434782609,0.10408326661329059,0.125,0.09090909090909094,0.779936,0.0826385,0.311196,21,0.00819101,0.576211,0.0279873,0.104247,1
67,0.303030303030303,0.45572916666666663,0.49065420560747663,0.47536231884057967,0.5535094742460636,0.59375,0.22929292929292933,0.98335,0.175439,0.107315,43,0.0070203,0.111038,0.0427491,0.128715,90
68,0.7626262626262627,0.6497395833333333,0.3551401869158879,0.5739130434782609,0.10408326661329059,0.125,0.09090909090909094,0.781269,0.161914,0.419133,70,0.00455373,0.898871,0.0984745,0.0688776,89
69,0.5,0.5494791666666667,0.4719626168224299,0.48405797101449277,0.6555911395783294,0.56875,0.17878787878787883,0.963248,0.0989546,0.179727,18,0.00232318,0.751853,0.0355213,0.416464,80
70,0.7373737373737373,0.640625,0.3551401869158879,0.5536231884057972,0.3159861222311182,0.125,0.09090909090909094,0.885725,0.127703,0.244063,53,0.00356294,0.135096,0.0310775,0.0589115,16
71,0.5909090909090908,0.47265625,0.4672897196261683,0.5246376811594202,0.6698692287163064,0.15000000000000002,0.09090909090909094,0.878315,0.0145539,0.389452,3,0.00995757,0.780641,0.0373147,0.290998,91
72,0.4696969696969697,0.44661458333333337,0.44859813084112155,0.4608695652173913,0.48251934881238323,0.35624999999999996,0.12121212121212122,0.881236,0.00964356,0.167985,66,0.00221527,0.484483,0.0314927,0.427682,40
73,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.750971,0.185164,0.420992,82,0.00980571,0.612153,0.0663555,0.13859,29
74,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.731914,0.157427,0.455143,64,0.00884239,0.220925,0.0806,0.37364,40
75,0.297979797979798,0.35416666666666663,0.485981308411215,0.4869565217391304,0.6140912730184147,0.63125,0.202020202020202,0.977285,0.160801,0.465667,42,0.00767695,0.967723,0.0666032,0.212923,7
76,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5536231884057972,0.2981051507872965,0.125,0.09090909090909094,0.831037,0.0544435,0.293659,41,0.0034664,0.0436795,0.0727885,0.22809,39
77,0.5858585858585859,0.6497395833333333,0.3551401869158879,0.5681159420289855,0.3237256471844142,0.125,0.09090909090909094,0.865452,0.0494379,0.18877,28,0.006085,0.886824,0.0268243,0.250678,15
78,0.18686868686868685,0.20052083333333337,0.4252336448598131,0.4,0.42594075260208164,0.61875,0.24242424242424243,0.951952,0.00375347,0.253035,98,0.00159157,0.496901,0.0289598,0.412292,18
79,0.7171717171717171,0.6393229166666667,0.4579439252336449,0.5536231884057972,0.5068054443554844,0.26249999999999996,0.09090909090909094,0.909246,0.0651185,0.391214,89,0.00339536,0.56545,0.0836505,0.298707,55
80,0.4242424242424242,0.46875,0.48130841121495327,0.536231884057971,0.6411796103549506,0.51875,0.13636363636363635,0.935221,0.046969,0.347124,59,0.00564947,0.376852,0.0156641,0.302733,53
81,0.7171717171717171,0.6432291666666667,0.44859813084112155,0.5565217391304348,0.5445689885241527,0.275,0.09090909090909094,0.918312,0.0978937,0.272932,93,0.00689391,0.57175,0.073486,0.46416,71
82,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5681159420289855,0.20523085134774488,0.125,0.09090909090909094,0.831718,0.191389,0.0668547,68,0.00643151,0.103351,0.0569197,0.073763,43
83,0.010101010101010055,0.02734375,0.21028037383177567,0.07246376811594202,0.04310114758473449,0.15625,0.039393939393939426,0.99844,0.00674352,0.106656,23,0.00904523,0.557513,0.0716773,0.454433,14
84,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5739130434782609,0.10408326661329059,0.125,0.09090909090909094,0.768723,0.116815,0.13824,70,0.00834878,0.0307267,0.0881886,0.339967,20
85,0.696969696969697,0.6263020833333333,0.48130841121495327,0.5449275362318841,0.6822791566586602,0.38125,0.16060606060606064,0.931778,0.137495,0.445996,5,0.00354315,0.731571,0.0778344,0.348552,8
86,0.7626262626262627,0.6497395833333333,0.3551401869158879,0.5710144927536231,0.20483053109153992,0.125,0.09090909090909094,0.793017,0.0984055,0.357914,56,0.00182847,0.970061,0.0845018,0.115662,69
87,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5594202898550724,0.20589805177475318,0.125,0.09090909090909094,0.814126,0.0504178,0.0320208,24,0.000828061,0.339907,0.0326221,0.349594,88
88,0.7272727272727273,0.6393229166666667,0.36448598130841126,0.5536231884057972,0.4036562583400053,0.3375,0.09090909090909094,0.90435,0.122497,0.33104,8,0.00336254,0.480039,0.0923503,0.255833,27
89,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.701959,0.0752681,0.161214,15,0.00610124,0.0966294,0.0301512,0.161415,64
