max_value,0.7626262626262627,0.7200520833333333,0.5420560747663552,0.5797101449275363,0.7143047771550574,0.70625,0.30707070707070705
index_set,0,90,377,11,396,383,115
mean_value,0.5326565656565657,0.4360598958333334,0.41485981308411213,0.461263768115942,0.2907045636509207,0.2631,0.1415878787878788

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
32,0.7626262626262627,0.50390625,0.3551401869158879,0.4405797101449276,0.3003736322391246,0.125,0.09090909090909094,0.773818,0.0192381,0.476403,41,0.00109476,0.024278,0.0778736,47,3.1637,0.0466473,0.00489786
33,0.3434343434343434,0.26822916666666663,0.47663551401869164,0.518840579710145,0.09634374165999471,0.54375,0.26868686868686864,0.9488,0.0969787,0.488248,64,0.00791398,0.0426303,0.475565,90,0.475451,0.522634,0.00538297
34,0.303030303030303,0.28125,0.4439252336448598,0.4434782608695652,0.0998131838804377,0.61875,0.1515151515151515,0.938807,0.0911116,0.0921347,85,0.00808039,0.0129219,0.278376,83,2.14713,0.552461,0.00833406
35,0.2222222222222222,0.25911458333333337,0.4299065420560748,0.5710144927536231,0.0920736589271417,0.40625,0.2090909090909091,0.951485,0.0890007,0.442077,25,0.00778148,0.0488382,0.382787,65,3.66257,0.631287,0.00583269
36,0.1717171717171717,0.25260416666666663,0.3551401869158879,0.1681159420289855,0.0,0.44375,0.021212121212121238,0.990177,0.034614,0.190996,69,0.00889328,0.0899091,0.0162943,11,2.89711,0.366714,0.00200904
37,0.7626262626262627,0.71484375,0.3551401869158879,0.5333333333333333,0.29717107018948496,0.125,0.09090909090909094,0.789578,0.0792437,0.387514,43,0.00130068,0.0319914,0.148466,69,0.43552,0.328017,0.00593316
38,0.7626262626262627,0.42447916666666663,0.4252336448598131,0.4405797101449276,0.44995996797437954,0.25,0.14848484848484844,0.854667,0.076331,0.110227,37,0.000610941,0.0464033,0.0610819,90,1.65531,0.304971,0.0059657
39,0.595959595959596,0.3984375,0.44859813084112155,0.4347826086956522,0.5006672004270083,0.125,0.1646464646464646,0.856275,0.0229852,0.100164,22,0.00686443,0.0714916,0.291304,21,3.24638,0.584552,0.00129846
40,0.19696969696969702,0.2734375,0.4158878504672897,0.5304347826086957,0.021884174005871393,0.54375,0.13737373737373737,0.973973,0.0815978,0.487936,20,0.00524614,0.0620816,0.196329,44,1.35573,0.548802,0.00891967
41,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.726515,0.0840624,0.201375,59,0.00304977,0.0354296,0.155687,100,3.26902,0.188235,0.00439619
42,0.7626262626262627,0.6510416666666667,0.4579439252336449,0.536231884057971,0.10408326661329059,0.125,0.09090909090909094,0.760693,0.0747847,0.263326,69,0.000368654,0.0859824,0.0670447,32,1.72197,0.131896,0.00966676
