max_value,0.6362478777589133,0.8047894940131325,0.8181108915010923,0.9197924505881887,0.92781423523473,0.9140813701809969,0.8361273381158069,0.9586206896551724,0.9784531074853655,0.9785276073619632,0.9779977540240402,0.8851870635508914,0.9691315187498394,0.975425190570692,0.9821913235315461,0.9848288950833284,0.6373976825768045,0.6954209365676483,0.5392014758202661,0.45818643350726274,0.42992269213278766,0.4298629749964684
clusters_found,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,69
index_set,232,92,14,134,351,280,53,44,92,295,295,14,92,229,44,162,232,468,468,242,0,153
mean_value,0.29014265070125905,0.2822023995804084,0.29674460392680435,0.33311087344895596,0.3382223466099267,0.3801061230135775,0.3455467474638859,0.3255114761489035,0.2668291801173485,0.2353741228625774,0.18664387779865454,0.3297282019214115,0.3005922405341558,0.2804940971183881,0.2753435721215695,0.2623446753234381,0.2896469293418383,0.24327130384298654,0.20300601665630288,0.1788299655460749,0.15744437171868086,0.1451357186493682

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
10,0.34279782621969834,0.29264004019090684,0.36765258804361445,0.4910448076801083,0.5206430139508533,0.6776035066097734,0.6798013552399518,0.4271910030572136,0.2008984511520462,0.11950287290859851,0.0575624610834371,0.4919561163869737,0.39033126293995857,0.32064186902896585,0.2919174010758393,0.24804983344038956,0.3260451285639321,0.2870059792912353,0.24894912927854507,0.22689374481368796,0.17178747804182826,0.16425183548827238,0.931675,0.019443,0.498727,20,0.00456468,0.0208142,0.0935728,29,1.59012,0.62242,0.00484422
11,0.22925981122702432,0.012887438825448627,0.07448546226723296,0.07644260599793173,0.15843074459567652,0.07696252791794189,0.22584662053985227,0.09747380391519778,0.0,0.0,0.0,0.07650319468539757,0.07869461943612521,0.0784416263563864,0.0,0.0,0.22925981122702432,0.1445009365801445,0.08748261474269814,0.06999567037090493,0.10824175824175819,0.16154063205417613,0.991848,0.187069,0.455343,75,0.0058108,0.0485102,0.0725095,24,3.11381,0.34249,0.00527204
12,0.41390048366792553,0.5484417663120233,0.6579170194750212,0.7304353296426773,0.8676717906352345,0.8165613049246858,0.6419555156528896,0.8269176931690929,0.7102646012898559,0.7656827765163802,0.8117582492968375,0.7253580454928391,0.7451484131062014,0.7714830570632243,0.7567035670356703,0.818086867412896,0.40075699255837827,0.3256670288542799,0.2648757347633288,0.23297634728824235,0.2183990131792508,0.21404781289319819,0.980147,0.145941,0.198084,69,0.00369359,0.0201808,0.423353,34,3.83513,0.789277,0.00213623
13,0.28985095812633077,0.3202988550359014,0.39815171351559486,0.5233177974379727,0.5885731559854896,0.6691418797713904,0.7341204697562824,0.48384043272481403,0.4252777632883,0.4050622492025928,0.2611880676999472,0.5960369215260057,0.5662795665514428,0.5422464756707595,0.19342456608811753,0.18593820230091707,0.28985095812633077,0.2754832429425671,0.23257918552036194,0.2546781437125748,0.1584709525213801,0.17969021928297946,0.951981,0.0297008,0.38993,85,0.00750037,0.0212412,0.00905669,77,1.07613,0.221047,0.00228757
14,0.5616290569091072,0.6497770815760935,0.8181108915010923,0.789443706094551,0.857300777058881,0.7557260650480989,0.2181648337650206,0.9379589568530942,0.9658620548338183,0.9671022983325822,0.9475496476617553,0.8851870635508914,0.9487456910650932,0.9533062645011601,0.9670744255173203,0.7951311076634296,0.5622862286228623,0.3482952416635444,0.280528650312302,0.4111230154865102,0.3223648721544935,0.19186310063463285,0.99235,0.00566732,0.322649,78,0.0082732,0.0340878,0.475955,73,2.12515,0.67928,0.00554639
15,0.23120015817570683,0.16502098977118196,0.18152744307560642,0.16749768685103317,0.193936286347547,0.3420943708609272,0.3726522173877793,0.16382731584551347,0.09237667038210573,0.05085418752085413,0.023655923202964835,0.17535100924759595,0.16891461692146692,0.152940714296237,0.13105447788687952,0.12749354568924764,0.23120015817570683,0.17510223591268792,0.1631709331131297,0.14965955921877805,0.09658265428589474,0.08749329039184117,0.914874,0.00999988,0.256528,67,0.00613171,0.0369051,0.054836,22,1.6669,0.0302871,0.000265056
16,0.3799647223404903,0.5666893666699095,0.5488181876730855,0.6357663034550731,0.6466707713959011,0.8423993558776167,0.5932144982926599,0.5955141129032258,0.6245826045476228,0.6494085281980743,0.6436575282854656,0.577719675997129,0.6101788170563962,0.596051408753995,0.6738762422576726,0.7216263667495263,0.3920055220883534,0.36160108548168246,0.27852564102564104,0.22632965204935074,0.1944792345072892,0.18702971904942345,0.973015,0.035186,0.260791,81,0.00127995,0.0130309,0.0305092,57,0.566021,0.520528,0.00798944
17,0.28211634244901795,0.22934879571810884,0.22172080930037952,0.24286853295535082,0.19095704238737887,0.18601884124917767,0.11259368322035113,0.1792781015266668,0.13285379772571126,0.08003233629749396,0.06862673430898114,0.18578159914505,0.2087672355606981,0.17209480540806832,0.23916400633289214,0.1842862127668573,0.28211634244901795,0.2054692663582287,0.11919621425142313,0.13682952901968182,0.10408349492414737,0.10164072867655927,0.92859,0.180716,0.352782,20,0.00353895,0.0159309,0.380593,82,2.71191,0.358575,0.00815961
18,0.2702397743300423,0.48664825046040516,0.40772310986004834,0.5980105324751317,0.6108523886766783,0.5870067138560622,0.6265315920875745,0.5550645342312008,0.5422288132527942,0.6146120445535208,0.5381136703330396,0.522174735514608,0.2851537603569152,0.07925597939863271,0.09192844551050483,0.07924187939853555,0.2702397743300423,0.35083967046894804,0.3454146073585942,0.2604796013702896,0.2602201809129795,0.18913177550880556,0.978135,0.0550387,0.294234,38,0.00805092,0.0247733,0.493958,13,1.95317,0.591457,0.00440854
19,0.36132049134561695,0.32522310397953547,0.38310515203621875,0.4641615030981411,0.5374367221623202,0.7085111297518752,0.6488390121451512,0.381954546923997,0.2064561342034953,0.10575548915161748,0.05175928194002166,0.44437872155842106,0.3888378999907188,0.32588920560168544,0.28842744135297327,0.2583300922540799,0.33830353276000746,0.3033111775108238,0.2561051004636785,0.20699828217193217,0.19114838806305468,0.17311335376984816,0.928711,0.0487356,0.456965,43,0.00104594,0.0226301,0.306229,85,0.907136,0.417763,0.00280546
