max_value,0.9936026640960477,0.9993639014047178,0.9986328421692238,1.0,1.0
index_set,78,79,79,79,73
mean_value,0.6969205000140636,0.729529912518946,0.6889117928455428,0.6746718817453536,0.6793652201572361

experiment,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
34,0.7923754958131335,0.8658436622866936,0.7239222462203023,0.7230407858210548,0.7818599311136625,0.996473,0.0383472,0.174805,55,0.00742624,0.0116556,0.304614,23,2.36139,0.647073,0.000507652
35,0.4964880418371589,0.5595109139202564,0.5277407054337464,0.5223333440524809,0.520330400340929,0.994003,0.00586796,0.200083,54,0.000721843,0.0110654,0.337329,59,1.29743,0.371631,0.00214077
36,0.8611135088476478,0.9981998199819982,0.8914893617021277,0.8582214526979081,0.8888701720611238,0.992319,0.0192188,0.235755,26,0.00929208,0.0337666,0.329323,73,1.14485,0.515471,0.00935941
37,0.4338950984541087,0.446774728660126,0.4472869535635312,0.42301682379290584,0.44070500645749444,0.994392,0.00718904,0.129362,2,0.00246147,0.0255879,0.18003,38,2.29861,0.416067,0.00547696
38,0.861128035512229,0.891791637963012,0.89189600121636,0.8934460138289699,0.865714767282271,0.995581,0.0308252,0.215669,89,0.00881908,0.0445482,0.248353,1,1.45101,0.549004,0.00261285
39,0.8816259030376883,0.891791637963012,0.8718830773909076,0.8610074892502206,0.8893838337627314,0.995301,0.027506,0.104114,54,0.00067433,0.02023,0.392389,59,1.37364,0.721474,0.00242578
40,0.4984328186218022,0.6243917483380166,0.5108046716384907,0.5034403669724771,0.4545150444785885,0.995959,0.0144586,0.137566,62,0.00455663,0.0351047,0.132404,73,1.75336,0.0885902,0.00927036
41,0.4803947484359855,0.5564447427524073,0.567868704358955,0.18830206943079653,0.1978509581944211,0.98893,0.0479811,0.224801,6,0.00593422,0.0284532,0.343447,91,1.71814,0.222818,0.00858906
42,0.5488949515680925,0.751864406779661,0.7577770413382707,0.5323934575836486,0.7189207443262012,0.983949,0.00721173,0.293702,91,0.00440728,0.0154725,0.387642,53,0.588014,0.146084,0.00259537
43,0.8483838298590598,0.8836440010501444,0.8695034116755118,0.889503412567663,0.8720609735637418,0.982251,0.0318647,0.0533921,29,0.0079723,0.0396666,0.467636,56,0.757385,0.605185,0.00987255
44,0.7901134208183331,0.8720423488858796,0.7438069279602539,0.7932638355678931,0.7422477124890283,0.989857,0.0398862,0.253843,80,0.00394154,0.0392433,0.146822,62,1.99826,0.52206,0.00236412
45,0.5070754716981132,0.49314674339523934,0.4945274006093203,0.5089842427889135,0.48644531547524883,0.984604,0.0026267,0.0372353,64,0.00264877,0.0127935,0.200586,35,1.72913,0.425539,0.00655083
46,0.86637076618116,0.8906589044720825,0.8914893617021277,0.8656002833195608,0.8688193258102548,0.991345,0.0455161,0.0705332,72,0.00822541,0.0461516,0.469202,13,1.00277,0.532257,0.00397078
47,0.7922192101985494,0.7542407151218474,0.7745836850587062,0.7701575414867738,0.7464885511610517,0.983118,0.0243954,0.0936853,24,0.00185766,0.0185308,0.118253,97,2.65607,0.664318,0.00173989
48,0.5524186388656368,0.5845891472868217,0.555307373216113,0.655990694067468,0.6264481803299333,0.991465,0.0106932,0.0863255,79,0.00703812,0.043517,0.216529,14,2.95103,0.614359,0.000722767
49,0.47964734146230903,0.4872835357973636,0.4435968158648139,0.3719636120064349,0.37756273421564446,0.993932,0.00959497,0.168782,35,0.0068337,0.047465,0.433203,22,2.21822,0.23996,0.00389991
50,0.8112195485360948,0.8149124702831207,0.6615804100466678,0.7503474290252135,0.7651503499192494,0.984938,0.0209949,0.18819,36,0.00608077,0.0365617,0.323222,14,2.94533,0.616718,0.00743383
51,0.6991674441972295,0.7399072324342897,0.6086788720843284,0.7247159574726906,0.720397004523434,0.994849,0.0245901,0.122345,81,0.00230478,0.035862,0.356911,46,1.93355,0.245946,0.00123907
52,0.8734155385013366,0.9978828137405388,0.8430786066022251,0.8926547000472367,0.8887418493299006,0.991837,0.0248833,0.276945,4,0.0027193,0.0126459,0.272828,17,0.973013,0.749408,0.00628446
53,0.4002126180643578,0.21397125125974648,0.2397322786735625,0.0,0.1864957964974827,0.998898,0.0306564,0.257733,11,0.00898067,0.0188926,0.157538,83,2.99214,0.314812,0.00496363
