max_value,0.965948575399583,0.9717560714138457,0.9688089961421653,0.957091438508513
index_set,33,73,73,113
mean_value,0.5491821462239413,0.4497280441028175,0.41311160079428416,0.32049538037521547

experiment,N10_CE,N30_CE,N50_CE,N70_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
24,0.4869338561276093,0.2834010185006124,0.23434315846971576,0.11028770491399398,0.945542,0.0846224,0.25671,84,0.00361653,0.0155611,0.0294873,0.18839,39
25,0.8227429407054072,0.8151490608970651,0.886043013375615,0.6878139685626317,0.982697,0.0404466,0.379302,78,0.00130328,0.00529523,0.0483634,0.0860466,37
26,0.9625254582484725,0.9500544201233523,0.9624103065883888,0.5877593948464868,0.983962,0.136609,0.155857,88,0.00940618,0.0436538,0.0428997,0.467559,95
27,0.9220966578504448,0.917364057452026,0.9309460898371258,0.772714221255999,0.991573,0.155957,0.44961,79,0.00901572,0.0325134,0.0182157,0.448188,27
28,0.7240117371665953,0.8182858947534641,0.8372102464174076,0.7231324632046654,0.995289,0.0910979,0.208024,19,0.00068322,0.022107,0.0424087,0.269605,85
29,0.8706594832671359,0.8310462784571226,0.78410527098357,0.752156009634061,0.975451,0.184124,0.226651,35,0.00842489,0.0348192,0.0349617,0.0138687,11
30,0.6285730953214328,0.43812655061823025,0.3375624517328878,0.18549460988456412,0.953065,0.164122,0.390399,57,0.00783775,0.0628818,0.0270397,0.403846,95
31,0.4504807789223295,0.2433925837161307,0.20654898065198168,0.10296732996317093,0.942506,0.022707,0.287718,10,0.00500556,0.0802097,0.0496663,0.364327,90
32,0.18803843605036452,0.11263967289225485,0.0808609552277414,0.0415273957340172,0.906739,0.165424,0.493843,74,0.00830164,0.0284216,0.0408731,0.017208,48
33,0.965948575399583,0.8163774290761716,0.902922276621787,0.8369521186097383,0.988683,0.00932515,0.439463,1,0.00809734,0.0420913,0.0208118,0.422651,49
34,0.7654872113871711,0.7477849005757217,0.7810937115684184,0.7655231074567621,0.997118,0.128048,0.259697,33,0.00485824,0.0268855,0.0151748,0.283494,18
