max_value,0.7626262626262627,0.71875,0.5420560747663552,0.5797101449275363,0.7530024019215372,0.74375,0.3161616161616162
index_set,0,271,356,11,105,15,16
mean_value,0.5216767676767676,0.4388385416666667,0.419196261682243,0.47124057971014494,0.3463295970109421,0.28266250000000004,0.1528929292929293

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
35,0.3232323232323232,0.296875,0.49065420560747663,0.5072463768115942,0.19589004536962906,0.43125,0.2676767676767676,0.918614,0.0939866,0.028887,13,0.07098,0.471468,0.0865315,0.331671,81
36,0.2676767676767676,0.4375,0.4672897196261683,0.40289855072463765,0.4786495863357353,0.36250000000000004,0.18181818181818177,0.891175,0.0525876,0.0662674,62,0.0981116,0.460627,0.0343789,0.484432,51
37,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.718926,0.0120552,0.0443499,35,0.0700828,0.282901,0.0274628,0.0798134,98
38,0.2676767676767676,0.22526041666666663,0.42056074766355145,0.5246376811594202,0.09127301841473179,0.4625,0.2838383838383839,0.955639,0.087763,0.0877686,36,0.0910104,0.142703,0.0231553,0.263701,5
39,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.705995,0.0429568,0.0253257,99,0.0976622,0.1067,0.0281224,0.0367217,85
40,0.7626262626262627,0.38802083333333337,0.4672897196261683,0.527536231884058,0.4390178809714438,0.125,0.18181818181818177,0.836936,0.0973783,0.0882423,97,0.0726586,0.402208,0.073983,0.344705,57
41,0.7626262626262627,0.5286458333333333,0.3551401869158879,0.5304347826086957,0.2053642914331465,0.125,0.09090909090909094,0.75291,0.0721111,0.0696268,64,0.0355604,0.0304135,0.066071,0.127586,45
42,0.2222222222222222,0.22526041666666663,0.4018691588785047,0.4695652173913043,0.5144115292233786,0.58125,0.27474747474747474,0.949235,0.0209216,0.0529345,88,0.00120641,0.261766,0.0539864,0.325671,99
43,0.23737373737373735,0.22786458333333337,0.4579439252336449,0.2840579710144927,0.17267147050974108,0.54375,0.2727272727272727,0.968672,0.0575536,0.0483003,57,0.0852895,0.420634,0.0955624,0.00452397,64
44,0.3232323232323232,0.44401041666666663,0.5093457943925234,0.45797101449275357,0.5856685348278623,0.23124999999999996,0.16868686868686866,0.88625,0.061472,0.0180634,72,0.0115905,0.0131631,0.0895503,0.11528,46
45,0.38888888888888884,0.41015625,0.4112149532710281,0.3710144927536232,0.2642113690952762,0.44999999999999996,0.06060606060606055,0.983188,0.0787138,0.0804682,19,0.0274932,0.299986,0.0732078,0.135398,76
46,0.2222222222222222,0.28385416666666663,0.4953271028037384,0.43768115942028984,0.10408326661329059,0.39375000000000004,0.22525252525252526,0.91783,0.0719579,0.0164926,59,0.0657623,0.356001,0.0592489,0.321709,72
47,0.4292929292929293,0.48828125,0.4719626168224299,0.4608695652173913,0.4547638110488391,0.24375000000000002,0.14747474747474743,0.840759,0.00623178,0.0107999,59,0.0723977,0.311847,0.0141464,0.0547114,77
48,0.7626262626262627,0.60546875,0.3551401869158879,0.5304347826086957,0.29903923138510813,0.125,0.09090909090909094,0.78162,0.024769,0.0465618,71,0.0573729,0.153041,0.0411613,0.14291,79
49,0.3434343434343434,0.30598958333333337,0.5093457943925234,0.4608695652173913,0.5503069121964238,0.4625,0.19494949494949498,0.91153,0.00882651,0.0692185,22,0.0361788,0.116888,0.0283309,0.260086,2
50,0.7626262626262627,0.5885416666666667,0.3551401869158879,0.5043478260869565,0.20563117160394984,0.125,0.09090909090909094,0.766238,0.0799539,0.0986671,28,0.0605294,0.0466914,0.0796717,0.474434,19
51,0.28787878787878785,0.35416666666666663,0.49065420560747663,0.4347826086956522,0.5696557245796637,0.5,0.18080808080808086,0.91048,0.015704,0.00350299,68,0.0591312,0.188887,0.0912686,0.0511108,69
