max_value,0.8266613290632506
clusters_found,10
index_set,369
mean_value,0.5605906058179877

experiment,pendigits_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs,push_rate,supervision_rate
94,0.39124633039765144,0.854166,0.0717835,0.0317195,70,0.00739176,0.997073,0.0954843,0.265788,22,6.49144,0.189741
95,0.526688017080331,0.841327,0.0717321,0.269921,63,0.0056909,0.710903,0.0255579,0.419816,61,8.52005,0.0192722
96,0.6996263677608754,0.801262,0.0495628,0.0586937,47,0.00451352,0.964156,0.0425979,0.164517,70,13.6917,0.141252
97,0.20496397117694154,0.869924,0.0994943,0.446534,8,0.00781444,0.491443,0.0594544,0.252765,45,7.59875,0.0854244
98,0.5631171603949827,0.877119,0.0110848,0.256622,82,0.0020906,0.306515,0.0595497,0.0317385,15,6.61027,0.193743
99,0.5524419535628503,0.839508,0.0569657,0.211769,57,0.00309659,0.571731,0.0878332,0.477978,75,4.30673,0.026609
100,0.3780357619428877,0.826797,0.0938661,0.423585,29,0.00532139,0.781822,0.0315148,0.278619,8,14.3784,0.389406
101,0.5541766746730719,0.866177,0.0190157,0.177897,77,0.00472462,0.198682,0.0807579,0.387587,3,12.9013,0.202827
102,0.5076060848678943,0.813724,0.0696967,0.395758,99,0.00724405,0.972829,0.0515942,0.217677,100,10.1594,0.0121263
103,0.20416333066453163,0.873118,0.0848868,0.258804,57,0.00392688,0.0111652,0.0730076,0.287476,100,7.88642,0.0668997
104,0.43795036028823053,0.843862,0.0705945,0.0438679,58,0.00984412,0.621398,0.0175482,0.132352,71,11.5739,0.0816528
105,0.6198291966906859,0.841792,0.0379469,0.391614,6,0.00355835,0.843903,0.0210924,0.0521004,41,11.241,0.0901303
106,0.6016813450760609,0.801816,0.0216103,0.381679,59,0.00619154,0.963595,0.0657011,0.171604,70,12.0395,0.0416291
107,0.684280757939685,0.830305,0.0436607,0.48209,86,0.000450247,0.55906,0.0294723,0.333473,65,10.1903,0.132527
108,0.5314918601547904,0.811779,0.0805388,0.35321,6,0.00581986,0.0527175,0.0987185,0.299872,65,11.5506,0.0989924
109,0.2995729917267147,0.826191,0.0913663,0.212729,90,0.00732171,0.765645,0.0826878,0.0766361,40,12.3554,0.0363838
110,0.2061649319455564,0.840712,0.0963469,0.339329,85,0.00200518,0.527461,0.0124587,0.455359,25,10.2226,0.106851
111,0.669602348545503,0.878759,0.0328999,0.030204,92,0.00637132,0.966527,0.020837,0.454649,81,8.74967,0.165043
112,0.38270616493194554,0.86144,0.06375,0.290407,65,0.00683214,0.747633,0.0639222,0.463305,24,9.52646,0.282609
113,0.7583400053376035,0.866873,0.0459182,0.209792,56,0.00642839,0.0322443,0.0902855,0.242462,72,14.7262,0.388515
114,0.7030958099813184,0.825502,0.0598905,0.0497304,99,0.00123093,0.158848,0.0653767,0.178005,11,13.9431,0.0914604
115,0.647985054710435,0.805604,0.0345306,0.30575,100,0.00747421,0.199708,0.0238485,0.35442,23,4.6254,0.183091
116,0.7143047771550574,0.85368,0.0354512,0.455563,26,0.00467019,0.8662,0.0478694,0.427919,63,9.76183,0.312312
117,0.644515612489992,0.85463,0.0225589,0.103161,4,0.00930535,0.646042,0.0555226,0.149695,56,6.21626,0.089511
118,0.6422471310381639,0.820691,0.0222396,0.468543,80,0.00376808,0.388775,0.0297898,0.363988,63,11.3449,0.217168
119,0.38697624766479854,0.820969,0.0904797,0.492528,81,0.00246994,0.0966715,0.0710743,0.190176,21,8.12223,0.28897
120,0.6398452095009342,0.82833,0.0153403,0.294913,61,0.00522218,0.45484,0.0600237,0.471134,91,8.78151,0.320365
121,0.6674673071790767,0.821131,0.0377391,0.0931574,97,0.00167852,0.775527,0.024278,0.474998,7,9.46161,0.0618143
122,0.2930344275420337,0.814252,0.0949032,0.449232,82,0.00619931,0.0303784,0.0989962,0.154111,88,3.02917,0.347999
123,0.3923138510808647,0.823703,0.0912053,0.243407,13,0.00603074,0.851462,0.0970545,0.228305,68,10.6751,0.145872
124,0.7229783827061649,0.836371,0.0246155,0.193445,69,0.00138095,0.670835,0.0873088,0.00407141,73,8.85882,0.0651521
125,0.6127568721643981,0.827798,0.0313007,0.27707,54,0.00383007,0.581148,0.0176358,0.314689,91,5.02053,0.153551
126,0.6226314384841206,0.848377,0.0652384,0.405791,18,0.00950392,0.585425,0.0867279,0.156619,32,5.32231,0.295123
127,0.5551107552708834,0.83283,0.0908496,0.0800298,2,0.00679688,0.641953,0.0344159,0.247613,46,7.71496,0.0879528
128,0.4843875100080064,0.878588,0.0687068,0.230313,93,0.00922522,0.111898,0.0573941,0.460043,40,4.00291,0.207828
129,0.4766479850547104,0.845994,0.0796383,0.182579,61,0.00953071,0.69029,0.0497663,0.346525,52,4.09843,0.394617
130,0.7497998398718975,0.854883,0.0513894,0.0927066,53,0.00779064,0.115129,0.0261614,0.22862,96,7.57563,0.296679
131,0.5767280491059514,0.829581,0.0633402,0.16089,28,0.00491837,0.657549,0.0608282,0.255968,18,10.2341,0.199102
132,0.6126234320789965,0.833543,0.0503724,0.0278614,40,0.00071896,0.231342,0.0130274,0.244895,68,12.9327,0.213706
133,0.2061649319455564,0.842169,0.0896573,0.356367,53,0.00524968,0.194273,0.0458637,0.338216,27,11.9677,0.0433774
134,0.740725914064585,0.823613,0.049649,0.306724,61,0.00660352,0.262686,0.0363297,0.117248,80,12.5065,0.354817
135,0.4682412596744062,0.858944,0.0892488,0.221829,19,0.00456724,0.439824,0.0203915,0.272236,22,4.97781,0.263977
136,0.24846543901788098,0.865453,0.0981753,0.257956,1,0.00657228,0.819497,0.0132674,0.344523,42,5.29845,0.34151
137,0.7551374432879637,0.84863,0.0424607,0.199375,96,0.00312528,0.952374,0.0706898,0.487842,52,6.26384,0.212921
138,0.7471310381638645,0.871286,0.0373952,0.206619,62,0.00595491,0.146671,0.0963509,0.0354869,11,14.0904,0.30125
139,0.2926341072858286,0.843249,0.0801406,0.0681297,100,0.00989969,0.839298,0.0285796,0.161915,82,14.0878,0.346515
140,0.20496397117694154,0.856694,0.0998269,0.29695,86,0.00101563,0.739065,0.0549179,0.368851,16,7.40028,0.132035
141,0.2930344275420337,0.835232,0.0993925,0.420171,49,0.00804517,0.328952,0.0436966,0.44126,13,9.70514,0.100708
142,0.3971176941553243,0.842597,0.0830734,0.0203072,92,0.00654007,0.811803,0.0541602,0.480435,65,8.3046,0.13059
143,0.618628235922071,0.839924,0.0663838,0.105186,18,0.00495692,0.507284,0.0863221,0.336639,69,10.9817,0.305428
144,0.6705364291433147,0.812791,0.0273082,0.155455,79,0.00476931,0.483071,0.0111477,0.204373,58,5.69618,0.30328
145,0.5926074192687483,0.849745,0.0462436,0.378337,91,0.00608418,0.0663497,0.086601,0.0941223,48,6.37961,0.174411
146,0.592340539097945,0.812941,0.0703242,0.283856,29,0.0096921,0.825845,0.0821471,0.20487,53,9.04879,0.033143
147,0.6650653856418468,0.85625,0.0541272,0.469276,81,0.00689532,0.3636,0.0514072,0.492583,10,13.2027,0.222466
148,0.7117694155324259,0.826582,0.0406162,0.147058,95,0.00549622,0.190073,0.0457739,0.215363,78,7.85528,0.270444
149,0.5942087002935682,0.811514,0.031639,0.0772074,37,0.00195131,0.269176,0.0135726,0.431184,89,5.1876,0.0779234
150,0.6635975447024286,0.805777,0.0304547,0.463539,63,0.00693285,0.442056,0.0884343,0.208453,61,6.89753,0.0158356
151,0.5884707766212971,0.835499,0.0510328,0.0698563,58,0.000891968,0.495824,0.0721961,0.0166598,70,4.03519,0.197359
152,0.6798772351214305,0.841636,0.0481009,0.204653,34,0.00404634,0.758945,0.0726732,0.409512,33,9.09838,0.0966677
153,0.7500667200427008,0.832256,0.0417767,0.416971,47,0.00349448,0.753479,0.0118203,0.239864,50,8.34433,0.347706
154,0.7068321323725647,0.82393,0.04343,0.113832,10,0.00442216,0.362628,0.022533,0.289723,41,14.9445,0.236305
155,0.5800640512409928,0.857266,0.0117866,0.271306,74,0.00582435,0.4608,0.0613808,0.112824,30,11.798,0.198758
156,0.7357886309047238,0.822925,0.0165692,0.110385,74,0.00470591,0.371458,0.0829854,0.415284,42,10.8163,0.39034
157,0.46997598078462766,0.816475,0.0737002,0.11903,50,0.00163021,0.249949,0.0577828,0.31898,47,13.7307,0.0859268
158,0.6258340005337604,0.868943,0.015525,0.0700238,68,0.00300313,0.27363,0.0631317,0.232884,96,13.3457,0.2794
159,0.7460635174806511,0.838912,0.0473423,0.308401,11,0.00403399,0.926218,0.0440517,0.378317,17,6.94426,0.126896
160,0.6738724312783559,0.834847,0.0552556,0.17711,82,0.00364127,0.228292,0.0733579,0.0398075,1,13.6332,0.070871
161,0.6126234320789965,0.814016,0.0297224,0.0146355,27,0.00768276,0.810261,0.0545686,0.0303677,4,14.6981,0.186204
162,0.4865225513744329,0.847076,0.0750082,0.338265,69,0.000267907,0.615234,0.0695642,0.493802,37,4.34235,0.108656
163,0.46930878035761947,0.8465,0.0710192,0.292861,94,0.00304169,0.873773,0.0373267,0.0864641,16,11.7642,0.234296
164,0.2824926607953029,0.865419,0.0820749,0.299421,50,0.00335657,0.778818,0.0658037,0.115519,89,4.67984,0.376607
165,0.29997331198291965,0.849369,0.0895075,0.496503,34,0.00967715,0.608616,0.0720422,0.134747,86,6.28348,0.25508
166,0.696290365625834,0.827631,0.0173606,0.372467,71,0.00717188,0.30962,0.0685678,0.0497543,54,7.03235,0.371146
167,0.7192420603149186,0.852253,0.0295016,0.0714704,88,0.00687271,0.325391,0.0425443,0.110033,36,14.0109,0.324112
168,0.20362957032292506,0.87406,0.0966692,0.0158112,96,0.00995243,0.569401,0.045316,0.41687,42,11.8281,0.062887
169,0.6196957566052843,0.816564,0.0640627,0.436432,31,0.00352085,0.286395,0.0656173,0.396112,38,14.2454,0.281248
170,0.48532159060581803,0.871759,0.0624887,0.39922,87,0.000380708,0.472391,0.0778528,0.39249,14,13.1602,0.275306
