max_value,0.7626262626262627,0.7122395833333333,0.5841121495327103,0.5797101449275363,0.8035761942887644,0.7625,0.3424242424242424
clusters_found,1,2,3,1,10,9,9
index_set,0,135,193,0,259,37,204
mean_value,0.5106363636363637,0.4236875,0.4139065420560748,0.44704347826086954,0.3756180944755804,0.34955,0.15615151515151515

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs,push_rate,supervision_rate
32,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5159420289855072,0.10408326661329059,0.125,0.09090909090909094,0.740166,0.0805848,0.228463,46,0.00830639,0.391571,0.0521845,0.385443,14,4.72322,0.123067
33,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.527536231884058,0.10408326661329059,0.125,0.09090909090909094,0.74439,0.0150743,0.400901,3,0.00904453,0.351801,0.0450766,0.330685,35,14.9041,0.0180061
34,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5130434782608695,0.10408326661329059,0.125,0.09090909090909094,0.752838,0.0890021,0.0821534,89,0.00785262,0.965129,0.0930963,0.180707,45,7.41644,0.193409
35,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.720104,0.0820724,0.293318,18,0.00731336,0.57207,0.0727573,0.48509,84,5.74591,0.101156
36,0.21717171717171713,0.22526041666666663,0.39252336448598135,0.24347826086956526,0.45583133173205226,0.625,0.26868686868686864,0.937966,0.0160192,0.153061,74,0.00427082,0.827147,0.0346248,0.154682,10,11.8417,0.0762962
37,0.29292929292929293,0.34765625,0.49065420560747663,0.49855072463768113,0.5549773151854818,0.7625,0.3090909090909091,0.902337,0.0505863,0.318688,34,0.00626654,0.106979,0.0105019,0.429302,53,11.5429,0.317997
38,0.29292929292929293,0.33203125,0.4719626168224299,0.4434782608695652,0.755004003202562,0.125,0.26868686868686864,0.843195,0.0452699,0.393988,72,0.00586151,0.478366,0.0995131,0.190979,79,5.83819,0.239724
39,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5043478260869565,0.10408326661329059,0.125,0.09090909090909094,0.747321,0.0362517,0.358107,66,0.00315432,0.699757,0.0529423,0.116029,74,14.2011,0.221322
40,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5101449275362319,0.10408326661329059,0.125,0.09090909090909094,0.7196,0.094986,0.256729,21,0.00897304,0.493982,0.0245205,0.289518,58,4.46697,0.269611
41,0.3232323232323232,0.27473958333333337,0.42056074766355145,0.2927536231884058,0.7053642914331465,0.63125,0.2535353535353535,0.91901,0.0521713,0.121181,11,0.00516494,0.296875,0.0688763,0.0277641,78,3.23152,0.226006
42,0.3232323232323232,0.2734375,0.4579439252336449,0.4521739130434783,0.300240192153723,0.6375,0.09090909090909094,0.950724,0.0719981,0.287422,12,0.00946073,0.0858904,0.0328205,0.189983,49,7.6681,0.345656
43,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.703543,0.0577476,0.085819,60,0.00167141,0.85271,0.0947116,0.0962944,12,10.3677,0.0397899
44,0.7626262626262627,0.5364583333333333,0.4579439252336449,0.33043478260869563,0.651854817187083,0.125,0.09090909090909094,0.801952,0.0126291,0.0490477,47,0.00288358,0.599794,0.0346631,0.396739,11,4.28187,0.114893
45,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5014492753623188,0.10408326661329059,0.125,0.09090909090909094,0.751166,0.0737552,0.285896,73,0.00948289,0.939239,0.0239001,0.0331632,62,6.67178,0.149415
46,0.7626262626262627,0.49348958333333337,0.4579439252336449,0.5014492753623188,0.4793167867627435,0.125,0.1636363636363637,0.811519,0.0791689,0.131227,72,0.00941159,0.186979,0.0472816,0.364992,71,3.43101,0.290182
47,0.4797979797979798,0.32682291666666663,0.46261682242990654,0.3971014492753623,0.4849212703496131,0.125,0.2858585858585858,0.855815,0.06289,0.289824,75,0.00730165,0.234616,0.0298379,0.124541,29,13.4449,0.135364
48,0.015151515151515138,0.13411458333333337,0.3037383177570093,0.2811594202898551,0.0,0.22499999999999998,0.007070707070707116,0.99426,0.0867855,0.283413,40,0.00809448,0.427447,0.0648212,0.10108,32,13.618,0.361892
49,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.721032,0.0662913,0.173274,72,0.000750283,0.282562,0.012034,0.213492,87,11.1628,0.308229
50,0.7626262626262627,0.45703125,0.43457943925233644,0.3797101449275362,0.6438484120629837,0.125,0.21010101010101012,0.82716,0.0225377,0.0110084,90,0.000761953,0.961013,0.0769513,0.4871,29,3.29474,0.180017
51,0.7626262626262627,0.53515625,0.3551401869158879,0.5217391304347826,0.555244195356285,0.125,0.09090909090909094,0.774379,0.0692696,0.206915,36,0.00913594,0.304496,0.0467956,0.170249,43,12.5125,0.0384591
52,0.7626262626262627,0.5026041666666667,0.3551401869158879,0.5043478260869565,0.5413664264745129,0.125,0.09090909090909094,0.764137,0.0881305,0.312155,98,0.00598077,0.00587414,0.0480106,0.240263,29,12.1956,0.203161
53,0.2272727272727273,0.20703125,0.42056074766355145,0.2666666666666667,0.5505737923672271,0.65,0.24343434343434345,0.958148,0.0228067,0.0457898,4,0.00596236,0.223417,0.0893257,0.0472635,33,5.68687,0.0473377
