max_value,0.9423744154472771,0.999313775947847,0.9957569585879158,1.0,1.0,0.9978597722797705,0.9987044865675713,0.9974672857745884,1.0,0.9966224774128177,1.0,0.9978889963937022,1.0,0.9988604421484464,1.0,1.0,0.9736596009975063,0.9450832072617247,0.9541171018075081,0.7454545454545455,0.6680868609125894,0.6185867895545315
clusters_found,10,10,10,10,10,10,10,10,10,11,42,10,10,10,10,10,10,10,10,8,9,8
index_set,87,256,54,54,43,9,6,11,49,95,38,407,54,54,95,95,256,34,238,423,316,81
mean_value,0.6777275428865657,0.7164485649525084,0.7330434097981445,0.7624722402386697,0.7889816528779316,0.8007810595936847,0.8076632085759942,0.7814935196767288,0.6506790230785836,0.48033846100220007,0.2886328058813257,0.7518331077209098,0.7792303094363442,0.7570665419972017,0.7551438917150113,0.7561956163009023,0.6689085827138048,0.6159369511254603,0.49180970638521665,0.3691272470718319,0.2607806148552431,0.18564920581742975

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs,push_rate,supervision_rate
10,0.7119884795391815,0.923430564362714,0.9649671052631579,0.9702515250271581,0.9894021464858863,0.9973474801061007,0.9987044865675713,0.9869685072257957,0.9585907497077977,0.9116539780808165,0.0017667844522968323,0.9512031525111092,0.9809563452833134,0.9880514015179981,0.9895882077678989,0.9899840221305416,0.8028416779431664,0.7894071368361899,0.7335984095427435,0.5344147303814117,0.5875621141394368,0.42159807750075096,0.980228,0.0391793,0.331986,26,0.00704913,0.0684893,0.0270059,0.478811,47,7.14073,0.382085
11,0.8001547987616099,0.7563003818413238,0.7133200795228628,0.9950295655154683,0.9988112624392895,0.8949897048730268,0.7938144329896908,0.9974672857745884,0.8202475835170426,0.0,0.0,0.7714285714285715,0.891791637963012,0.9976477729721527,0.7334249449591441,0.8891269287244542,0.7301439851370182,0.5790060528830838,0.5329417367836164,0.38904627006610004,3.1999999999998696E-4,0.0,0.992056,0.0572335,0.256169,78,0.00354905,0.065824,0.0376756,0.13844,9,9.46223,0.326292
12,0.8571428571428572,0.6337865201041366,0.7400626678603401,0.8712715266574119,0.6658967914317415,0.802334866048074,0.7552335773950707,0.6890418148947337,0.9591014528140642,0.8984889430213527,0.9990712597095576,0.9306808859721083,0.6978844694515909,0.7621587154367863,0.7188895700148874,0.9632010023434419,0.7741016109045848,0.8887460725506998,0.34211178073144555,0.26191556967771223,0.1801298052920619,0.14434330299089726,0.993104,0.0100441,0.397947,6,0.00692758,0.0350753,0.023006,0.430454,55,6.99906,0.237795
13,0.7250922509225093,0.8097512765606985,0.7337596768764726,0.8427159432746025,0.8447468440342066,0.840681448506121,0.8432428746761216,0.8449978894048121,0.743041412084182,5.081731176420634E-4,0.0,0.7325694138386954,0.839805053769137,0.8378747628083492,0.734365764274737,0.730349529063185,0.7246465888137676,0.7254268574065528,0.6223905984227618,0.5598250546704155,0.0,0.2909672262190248,0.98763,0.0692279,0.303932,8,0.00709731,0.0154332,0.0267087,0.184622,54,3.89099,0.317732
14,0.6887236302929125,0.6132514114911989,0.7092911606890708,0.5824368919555993,0.7410811177428107,0.8163684616043148,0.7159827951116269,0.8187584573748309,0.8183394662267902,0.4632147985471746,0.12713296164892718,0.8090055297112262,0.9055233317656894,0.8118013839251768,0.8135613242373232,0.730349529063185,0.547712623801289,0.5991902834008097,0.5338533541341653,0.4263076923076923,0.4292138316017987,0.14109375000000002,0.982763,0.0630769,0.412768,78,0.00210397,0.0792022,0.034644,0.414854,30,7.79752,0.0119128
15,0.7072868217054263,0.7105668778900497,0.9913822237242311,0.9212168151112259,0.8960173983960854,0.699468085106383,0.7938144329896908,0.9974672857745884,0.8204214900563965,0.0,0.0,0.6376275959169306,0.8910361624397733,0.798586303868663,0.7058441270732103,0.8891269287244542,0.7313780260707635,0.5738788355625491,0.6029458346531518,0.6149097082883161,0.38978240302743616,0.26691188229649765,0.992863,0.0526836,0.391158,97,0.0079019,0.0810838,0.0312271,0.0854985,97,12.4652,0.302523
16,0.4792852624920936,0.2568361870687452,0.2575421851031191,0.25837567823615537,0.36813112078346033,0.25780713795470145,0.2624655788443595,0.22826914938637322,8.903586873568736E-4,0.0015234870926787991,0.0,0.0,0.0,0.0,0.0,0.23917808879146296,0.24057878836062963,0.28928912974179155,0.3074882995319813,0.3047190313567215,0.21103642332343286,0.0054097056483691786,0.982946,0.0964642,0.240626,8,0.00218185,0.0354739,0.0494821,0.202301,17,8.88067,0.290097
17,0.8500756429652042,0.7549152542372881,0.8830536912751678,0.7580603998298596,0.8943458942441407,0.7913520933424846,0.9209736806218465,0.9217589466576638,0.7959650758667458,0.6383970177073626,0.0,0.8502692077600205,0.9933610833025976,0.8912861809617868,0.8909187341622959,0.8097531607465382,0.8500756429652042,0.6833001683759375,0.4859287054409006,0.48514232092586795,0.29421044328758483,0.19465343364815113,0.988245,0.050124,0.470763,48,0.000685348,0.0788653,0.0310947,0.455519,52,10.8954,0.118988
18,0.7119899703669934,0.8554225714075924,0.943146500910942,0.7230719794344473,0.962209207211334,0.9978597722797705,0.962099316868103,0.8722131994684778,0.9032653686953855,0.8977713546816765,0.9384660250801983,0.8417420982341594,0.8815374184649194,0.9560095979059114,0.7388982912048916,0.749426822883758,0.7290232232465865,0.8191714972430368,0.5908672647803083,0.3644206617887955,0.3254526582862415,0.2851091142490372,0.989465,0.0186371,0.2858,76,0.00082915,0.0472946,0.0379988,0.171792,11,8.04375,0.316577
19,0.5098600508905853,0.5954381752701081,0.4051474348048406,0.6363792954956506,0.6095960282916213,0.840681448506121,0.6381511572335632,0.5877274650867541,0.0,0.0,0.0,0.7325694138386954,0.6003819020845489,0.6520383328262853,0.734365764274737,0.730349529063185,0.6534526854219949,0.6522136010953903,0.5338740458015268,0.29339697692919653,3.1999999999998696E-4,0.19324908014717646,0.994588,0.0752808,0.171963,77,0.000319714,0.0770922,0.0165124,0.128095,97,11.6904,0.389888
