max_value,0.7626262626262627,0.7291666666666667,0.5514018691588785,0.5797101449275363,0.803309314117961,0.7875,0.3303030303030303
clusters_found,1,2,5,1,11,9,14
index_set,4,468,204,5,275,17,484
mean_value,0.511010101010101,0.4142395833333334,0.4144485981308412,0.44610434782608693,0.3804141980250867,0.34783749999999997,0.15755353535353536

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs,push_rate,supervision_rate
18,0.7626262626262627,0.3984375,0.4439252336448598,0.4318840579710145,0.7838270616493195,0.125,0.2585858585858586,0.829518,0.0369545,0.109805,88,0.000790008,0.124958,0.0321217,0.355387,95,0.00145197,0.348906
19,0.303030303030303,0.265625,0.5046728971962617,0.27826086956521734,0.10088070456365095,0.4625,0.1202020202020202,0.951404,0.0770322,0.492211,19,0.00650206,0.846652,0.0808274,0.307144,31,0.00666321,0.224186
20,0.10606060606060608,0.12369791666666663,0.3130841121495327,0.16521739130434787,0.3915132105684548,0.63125,0.1636363636363637,0.971791,0.0125198,0.382605,28,0.00309423,0.950141,0.0269244,0.395533,62,0.00365575,0.154941
21,0.7626262626262627,0.328125,0.44859813084112155,0.518840579710145,0.581531892180411,0.125,0.09090909090909094,0.7961,0.02221,0.292763,74,0.00880273,0.389366,0.0369501,0.0760998,46,0.00277683,0.0322725
22,0.3787878787878788,0.48697916666666663,0.43457943925233644,0.34202898550724636,0.017614091273018384,0.35624999999999996,0.06262626262626259,0.984543,0.0954266,0.156877,67,0.0049765,0.175892,0.0179563,0.356957,64,0.00453774,0.101002
23,0.2777777777777778,0.30598958333333337,0.4672897196261683,0.49855072463768113,0.10354950627168402,0.56875,0.09090909090909094,0.933229,0.0930795,0.476174,29,0.0034734,0.536301,0.0847076,0.0889323,37,0.00065937,0.260385
24,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.704043,0.0511378,0.0912348,23,0.00431923,0.15358,0.0211597,0.211776,52,0.00655467,0.242869
25,0.4444444444444444,0.28125,0.42056074766355145,0.4782608695652174,0.7930344275420336,0.7375,0.29393939393939394,0.864169,0.0395207,0.203199,66,0.00523965,0.664066,0.0589853,0.490432,58,0.00947455,0.331327
26,0.31818181818181823,0.42838541666666663,0.4252336448598131,0.45507246376811594,0.292500667200427,0.55625,0.19393939393939397,0.883095,0.0913888,0.413573,32,0.00555028,0.418196,0.0614736,0.402021,89,0.00956096,0.24123
27,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5159420289855072,0.10408326661329059,0.125,0.09090909090909094,0.719473,0.0471009,0.385382,89,0.00143277,0.19142,0.091152,0.254509,76,0.0035364,0.0449507
