max_value,0.9318317422434368,0.9955563151598017,0.9945753517545347,0.9974229018125591,1.0,0.9978597722797705,0.9987044865675713,0.9974672857745884,1.0,0.9966224774128177,0.9991978045176272,0.9905701562909281,0.9986228084114624,0.9986328421692238,0.9995864106351551,0.9997110174593619,0.9312760882528325,0.8536918869644485,0.8079087214754611,0.7478207677014834,0.7401662049861496,0.6797645125958379
clusters_found,10,10,10,10,10,10,10,10,10,16,58,10,10,10,10,10,10,9,8,8,8,9
index_set,49,85,85,14,85,7,7,49,313,158,143,85,248,85,248,248,49,301,401,370,264,264
mean_value,0.49412378793608547,0.5566026082908064,0.606669007990407,0.6729682531238881,0.7242381160544937,0.7415138435096482,0.7533099425221501,0.6619819484086049,0.487193021281944,0.3414858452092247,0.1760193727993228,0.692782210671803,0.7095889692905594,0.6965925102054364,0.6811357657360299,0.663645873851517,0.49488650253434424,0.4776241092379431,0.4204787099735181,0.37306819130453156,0.3261563317908511,0.2876375636377896

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs,push_rate,supervision_rate
10,0.45462484535332215,0.48657227582174334,0.5371235008697244,0.6984480269489894,0.7473253538664837,0.748628755668024,0.7234813247606424,0.6692155196828093,0.6398783666377064,0.7233116803529844,0.3327334589320361,0.739521543576038,0.7146566592748431,0.7421330398216353,0.7270539445835169,0.732087117538136,0.4026712509918011,0.4524516549576302,0.336874460742019,0.31548882822768176,0.3001396230178518,0.2440013102939972,0.933202,0.020962,0.0431982,29,0.00525821,0.0661983,0.0363413,0.314123,81,14.532,0.334286
11,0.4831818906424359,0.3079014443500425,0.23163456621782852,0.0,0.3701713819368879,0.25780713795470145,0.0,0.23165467625899283,0.0,0.0,0.0,0.3472895548699868,0.0,0.0,0.0,0.0,0.3406245046758599,0.19937057435090477,0.2963079340141398,0.19543147208121825,0.010504536049657842,3.1994880819063987E-4,0.990174,0.0962265,0.151499,31,0.00170348,0.0580822,0.0302114,0.435286,51,8.60452,0.162807
12,0.7630363932645301,0.7128119001919386,0.8595459741956557,0.7289361702127659,0.9841046748987718,0.8936097310262121,0.8964271103231966,0.8110295344568663,0.8171298251541516,0.07623205440349257,0.04155670059905325,0.848396013066421,0.978004876277429,0.8868395192380376,0.8857511131942817,0.8092464681957113,0.7445980985306828,0.6191187453323376,0.5363477755161384,0.4025358997861289,0.34147794994040526,0.3096112641567187,0.976563,0.0604786,0.149407,87,0.00305795,0.0127613,0.0358988,0.0301802,26,5.32388,0.105697
13,0.477370380979662,0.5611052072263549,0.27246605442560146,0.635831684020308,0.5916685891309363,0.730952380952381,0.7305055122344717,0.7379449633930826,0.05144884683619155,0.07420010952045686,0.04326833797585883,0.7320532017968819,0.7317318376633684,0.7315923518455164,0.7310385407472786,0.6333644568938687,0.4168233671806444,0.4197560681077165,0.37908029544913036,0.37757533286615275,0.16382095062298108,0.2839673913043478,0.954436,0.0866134,0.462069,77,0.00903661,0.0975508,0.0204389,0.139537,92,9.08863,0.264587
14,0.872380065207266,0.7889326708925818,0.7898859186105909,0.9974229018125591,0.8664989118607181,0.7663006177076184,0.7159827951116269,0.8950486669487939,0.8718209562563581,0.7196340843638828,0.18186427786698212,0.9072352992269608,0.8110328016533305,0.6927930667477573,0.6399219823573741,0.7079709970370727,0.8052656176974606,0.7302841513447804,0.6188995958967982,0.4240526150955215,0.30715068064465656,0.019933554817275767,0.994496,0.0412686,0.162034,80,0.00565124,0.0664678,0.0306296,0.358048,42,8.45968,0.015528
15,0.5685764791515026,0.7361769352290679,0.8112181407567867,0.8917133860686584,0.8481729284611426,0.940227474388965,0.9496547476253768,0.9276124676140378,0.7920851446559736,0.7964477488641057,0.09068126614488958,0.819830028328612,0.9187621832358674,0.8628056628056628,0.8047088378342852,0.8552211159990739,0.5692275661045181,0.5637604093508578,0.5314268079415698,0.4987029831387808,0.44315869786368256,0.36168885191347755,0.953393,0.046952,0.0350522,45,0.00799998,0.0949505,0.0452836,0.32443,90,5.69659,0.0774191
16,0.41867179980750724,0.5508274231678487,0.6256375503798552,0.7572555925128808,0.8977897179142753,0.7603788847428438,0.6167720563981276,0.8056872037914692,0.5120656585931576,0.5540642953184207,0.4458973151201131,0.6204878582367097,0.7814715025906736,0.8046142312929333,0.8944697049804378,0.766063849418712,0.3478541275797373,0.4287524640946212,0.20512021197833452,0.2064702089733379,0.13897271567681924,0.11040316677059892,0.967274,0.00278341,0.160849,2,0.00897525,0.0767612,0.0115326,0.242746,23,14.6167,0.0384333
17,0.4199946214871588,0.4960190743815728,0.5891548117154812,0.7062222492549115,0.7998041828714406,0.6659505907626209,0.6817896182282253,0.6700124758988317,0.5332971285045143,0.2933807263055852,0.14800901577761083,0.7018683494184608,0.6145947091326955,0.7354084514920156,0.8165846124143257,0.7478202911082288,0.363387819207725,0.29293072488422645,0.28924363359939187,0.18717652876215596,0.13768059755498696,0.14069555573160109,0.943709,0.0100907,0.228653,19,0.000756055,0.00441345,0.010022,0.376209,25,12.9624,0.251916
18,0.7720527617477329,0.8514837012132729,0.9627502461437479,0.9681480863837238,0.889443171093434,0.9973474801061007,0.9987044865675713,0.9358415841584158,0.8850921273031825,0.9853898814493237,0.8142136248948697,0.9465999165623696,0.9789189469858248,0.9025880414635821,0.9347865125081154,0.8845278862041716,0.7020282728948986,0.7214946070878274,0.5657993361173573,0.5970885763631877,0.5275337210741244,0.5052421367948078,0.978389,0.0277781,0.30716,3,0.00185025,0.0596784,0.0449585,0.293625,28,3.65874,0.0550958
19,0.7372831346630473,0.8872134643210723,0.9205543933054393,0.8406762480541577,0.952701827134897,0.9603849449607804,0.8758072231523559,0.9461840313926484,0.9385528254549799,0.9860072678668393,0.8464177437370353,0.8882712182900094,0.9332013364682589,0.8583085811273949,0.8045845817282542,0.9509770233431838,0.7994625031993857,0.5404479822288042,0.42951951154765067,0.519501109819258,0.4401278821933734,0.4222616801686827,0.983579,0.0122766,0.455129,92,0.00425287,0.0187238,0.0333039,0.062242,67,7.91573,0.382335
